business_name,phone,reviews_link,reviews_count,city,preview_link
"Moody’s Electric Service, LLC",+1 662-803-5550,"https://search.google.com/local/reviews?placeid=ChIJ53itrHFvgYgRg_Co6092b3A&q=electrician,+35461,+Ethelsville,+AL,+US&authuser=0&hl=en&gl=US",2,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ53itrHFvgYgRg_Co6092b3A
harrison electric llc,+1 334-392-1660,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJJyFsrxn9dwoRpS4Rfqode7c
"Resource Electrical Services, LLC",+1 334-412-2566,"https://search.google.com/local/reviews?placeid=ChIJ8VY1tmT_mqcRDTiPmyWnRDQ&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US",1,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ8VY1tmT_mqcRDTiPmyWnRDQ
Reliant Electrical Solutions LLC,+1 334-733-8722,"https://search.google.com/local/reviews?placeid=ChIJKTsNHNR9kogR0voT8l67UnM&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US",7,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJKTsNHNR9kogR0voT8l67UnM
Hendrix Electrix,+1 334-235-9109,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJRbviIlcqjIgRq5SRGK9hWPo
Montgomery Electrical Services,+1 334-258-8628,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJS_YPnQiBjogROmRN7Lnp2j4
Ceh Electric Solutions,+1 334-303-6146,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ1ZgpqqzpuCMR7892KKIHaFI
Agee Electric,+1 256-794-7190,"https://search.google.com/local/reviews?placeid=ChIJU11D1fEMjIgRZBnjCdWzK14&q=electrician,+35089,+Kellyton,+AL,+US&authuser=0&hl=en&gl=US",3,Alexander City,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJU11D1fEMjIgRZBnjCdWzK14
Jackson Electrical Services of Alabama LLC,+1 205-568-2786,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJbSw-aooKv2YRdsy_06w_feE
Holcombe Electric llc,+1 205-296-6459,"https://search.google.com/local/reviews?placeid=ChIJPV1pr4uQiYgR0YXEuYQWd98&q=electrician,+35097,+Locust+Fork,+AL,+US&authuser=0&hl=en&gl=US",4,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJPV1pr4uQiYgR0YXEuYQWd98
"Ralph Electric, LLC",+1 256-454-2065,"https://search.google.com/local/reviews?placeid=ChIJQ7rcQot9iYgRIEfJAPFFSAg&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US",5,Pell City,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJQ7rcQot9iYgRIEfJAPFFSAg
Good Stewart Electric,+1 205-478-9806,"https://search.google.com/local/reviews?placeid=ChIJF0-8kZ-niYgRW_GnfFJPAhY&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US",5,Birmingham,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJF0-8kZ-niYgRW_GnfFJPAhY
The Electrical Plug,+1 256-589-6557,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJserrPLqp1EkRbqLVejiiMe0
"Southern Home Innovative Tech, LLC",+1 256-872-1125,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJvxXDwGoV8GcRpF8oRVIlMCU
Dr. Watts Electric Service,+1 334-435-6430,"https://search.google.com/local/reviews?placeid=ChIJVwTi2JSLkogRBeZowVrmK-Y&q=electrician,+36313,+Bellwood,+AL,+US&authuser=0&hl=en&gl=US",22,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJVwTi2JSLkogRBeZowVrmK-Y
Buck's Electrical Contractor,+1 850-373-7047,"https://search.google.com/local/reviews?placeid=ChIJfzLKhWWrk4gRdB3xH9LUSoM&q=electrician,+36314,+Black,+AL,+US&authuser=0&hl=en&gl=US",12,Bonifay,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJfzLKhWWrk4gRdB3xH9LUSoM
Jones Johnson Electrical,+1 850-557-9077,,,Greenwood,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ9RtgipbZkogRCmRUacOm2hs
"Middlebrooks Brothers, Inc.",+1 850-372-2829,"https://search.google.com/local/reviews?placeid=ChIJI4xBmLL5kogRXpPR-lIhtRQ&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US",9,Graceville,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJI4xBmLL5kogRXpPR-lIhtRQ
"King Electric & Construction, LLC",+1 850-693-2323,"https://search.google.com/local/reviews?placeid=ChIJVTA20eA6k4gRQEYmaHpN5Nc&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US",13,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJVTA20eA6k4gRQEYmaHpN5Nc
Willpower Electric,+1 334-525-0057,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJlVbM7youewIRWPYMW6PGMhY
Island Electric Company,+1 251-597-8378,"https://search.google.com/local/reviews?placeid=ChIJLXkS4WoOmogRkdUa1YYwcEg&q=electrician,+36547,+Gulf+Shores,+AL,+US&authuser=0&hl=en&gl=US",8,Gulf Shores,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJLXkS4WoOmogRkdUa1YYwcEg
Home Electrical Services,+1 828-260-2467,"https://search.google.com/local/reviews?placeid=ChIJl_NJ3KIc_0oR13_u0leXbik&q=electrician,+36547,+Gulf+Shores,+AL,+US&authuser=0&hl=en&gl=US",8,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJl_NJ3KIc_0oR13_u0leXbik
Ben Clark Electrical,+1 251-284-8990,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJox3Blr0HmogR9ZmtbJ4oaKA
Ben Clark Electrical,+1 251-284-8990,"https://search.google.com/local/reviews?placeid=ChIJKf4sDDIPmogRm58jPgcRjAc&q=electrician,+36547,+Gulf+Shores,+AL,+US&authuser=0&hl=en&gl=US",2,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJKf4sDDIPmogRm58jPgcRjAc
Hamner Electrical Services,+1 205-233-0569,"https://search.google.com/local/reviews?placeid=ChIJU4IPujYJmogRZPsPymXWpMI&q=electrician,+36547,+Gulf+Shores,+AL,+US&authuser=0&hl=en&gl=US",3,Foley,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJU4IPujYJmogRZPsPymXWpMI
Master Electrical Company LLC,+1 251-504-6590,"https://search.google.com/local/reviews?placeid=ChIJzejgq0xG64IRaX7VBxQMgok&q=electrician,+36551,+Loxley,+AL,+US&authuser=0&hl=en&gl=US",30,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJzejgq0xG64IRaX7VBxQMgok
Avad Electrical Services LLC,+1 251-591-2165,"https://search.google.com/local/reviews?placeid=ChIJ16psTDf2-QwRAvupTMHRvoQ&q=electrician,+36551,+Loxley,+AL,+US&authuser=0&hl=en&gl=US",27,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ16psTDf2-QwRAvupTMHRvoQ
Longleaf Electric LLC,+1 251-591-0749,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJo0qIVflk6y0RdBpBfJqmfRk
Robinson Electric LLC,+1 251-747-3198,"https://search.google.com/local/reviews?placeid=ChIJvX2y2KpymogRyGT0i9K5ZJk&q=electrician,+36555,+Magnolia+Springs,+AL,+US&authuser=0&hl=en&gl=US",5,Summerdale,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJvX2y2KpymogRyGT0i9K5ZJk
Southern Wiring Solutions LLC,+1 251-421-6464,,,Fairhope,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJpTfOcOM9mogR14GGB3o-dnU
Lambert Home Services,+1 251-979-1748,"https://search.google.com/local/reviews?placeid=ChIJzajK4BATmogRY1MreyG3_C8&q=electrician,+36567,+Robertsdale,+AL,+US&authuser=0&hl=en&gl=US",6,Foley,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJzajK4BATmogRY1MreyG3_C8
Coastal Electric Services LLC,+1 251-752-3456,"https://search.google.com/local/reviews?placeid=ChIJabl3HoYTmogRXtFqk1raDuc&q=electrician,+36580,+Summerdale,+AL,+US&authuser=0&hl=en&gl=US",3,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJabl3HoYTmogRXtFqk1raDuc
Due South Electric,+1 251-599-8430,"https://search.google.com/local/reviews?placeid=ChIJKyDP5W21m4gRAK2tbyNbJ8Y&q=electrician,+36582,+Theodore,+AL,+US&authuser=0&hl=en&gl=US",3,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJKyDP5W21m4gRAK2tbyNbJ8Y
Ritchie Electric,+1 251-459-3139,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJM_xUzl020qoR1hH62MXi7Dc
3 Phase Solutions,+1 251-680-9683,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJOZI6NfY8YU0RGPpNbnyCy9c
"D1 Electric, LLC",+1 256-339-8603,"https://search.google.com/local/reviews?placeid=ChIJ2Q8EoWrNiYgRECi7JHoXdQY&q=electrician,+35179,+Vinemont,+AL,+US&authuser=0&hl=en&gl=US",3,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ2Q8EoWrNiYgRECi7JHoXdQY
